id,name,description,github_url,website_url,stars,last_updated,tags,platforms,license,origin_country,language,country_code,is_archived,owner_type,avatar_url,latest_release_tag,latest_release_at,pricing_type,is_self_hosted
000835f2-87e3-46c1-acbf-a2c5faf506d5,Hedgedoc,"Web-based, self-hosted, real-time markdown editor.",https://github.com/hedgedoc/hedgedoc,https://hedgedoc.org,7272,2026-06-26 08:16:29.459,,,['AGPL-3.0'],Global,['TypeScript'],UN,False,Organization,https://img.logo.dev/hedgedoc.org?token=pk_MauVQceUSgaLrE87BqU4Kw,1.11.0,2026-06-18T22:04:46Z,Free,True
001e32fa-5b9e-4008-b8f5-a0036cff5fb2,Verdaccio,"Simple, zero-config local NPM registry.",https://github.com/verdaccio/verdaccio,https://www.verdaccio.org,17727,2026-06-26 08:16:29.459,,,['MIT'],Global,['TypeScript'],UN,False,Organization,https://img.logo.dev/verdaccio.org?token=pk_MauVQceUSgaLrE87BqU4Kw,v6.7.4,2026-06-21T08:01:04Z,Free,True
00a6fd3d-0c16-43a7-bc29-150768118f2f,StaticDeploy,Open-source platform for deploying static applications.,https://github.com/staticdeploy/staticdeploy,https://staticdeploy.io,422,2026-06-26 08:16:29.459,,,['MIT'],Global,['TypeScript'],UN,False,Organization,https://img.logo.dev/staticdeploy.io?token=pk_MauVQceUSgaLrE87BqU4Kw,v0.15.5,2021-12-14 18:21:14+00,Freemium,True
0107f49d-a8cb-4717-b7c5-3b0f5f1261e2,Kilo,"Open-source VS Code extension with orchestrator, architect, code, and debug modes. Use any AI model, automatic error recovery, and context-aware assistance.",https://github.com/kilo-org/kilocode,https://kilo.ai,24667,2026-06-26 08:16:29.459,,,['MIT'],Global,['TypeScript'],UN,False,Organization,https://img.logo.dev/kilo.ai?token=pk_MauVQceUSgaLrE87BqU4Kw,v7.3.54,2026-06-23T01:51:07Z,Paid,False
010b05b5-80d8-4a74-bcd8-eb386e794a8f,Hidden,An ultra-light macOS utility that helps hide menu bar icons.,https://github.com/dwarvesf/hidden,,14261,2026-06-26 08:16:29.459,,,['MIT'],,['Swift'],,False,Organization,https://img.logo.dev/github.com?token=pk_MauVQceUSgaLrE87BqU4Kw,v1.10,2026-03-03T13:49:12Z,Free,False
0141ecd7-2735-4fee-baf2-73755a02d125,HandBrake,"HandBrake is an open-source, GPL-licensed, multiplatform, multithreaded video transcoder.",https://github.com/HandBrake/HandBrake,https://handbrake.fr/,23585,2026-06-26 08:16:29.459,,,['Unknown'],Global,['C'],UN,False,Organization,https://img.logo.dev/handbrake.fr?token=pk_MauVQceUSgaLrE87BqU4Kw,1.11.2,2026-06-07T19:08:25Z,Free,True
0145e60b-470a-4a8c-82c4-abb311c1fa99,Terrateam,"Automate infrastructure changes with secure GitOps workflows. Plan, validate, and deploy Terraform, OpenTofu, and Pulumi directly from pull requests.",https://github.com/terrateamio/terrateam,https://terrateam.io,1242,2026-06-26 08:16:29.459,,,['MPL-2.0'],Netherlands,['OCaml'],NL,False,Organization,https://img.logo.dev/terrateam.io?token=pk_MauVQceUSgaLrE87BqU4Kw,20260623-0852-51270c0,2026-06-23T08:57:24Z,Free,True
01daf942-8c29-434d-9b1c-b3ded91f79a6,OctoBot,"OctoBot is an open-source platform for automated cryptocurrency trading, offering customizable strategies and easy integration with exchanges.",https://github.com/drakkar-software/octobot,https://go.openalternative.co/octobot,6149,2026-06-26 08:16:29.459,,,['GPL-3.0'],France,['Python'],FR,False,Organization,https://img.logo.dev/go.openalternative.co?token=pk_MauVQceUSgaLrE87BqU4Kw,2.1.1,2026-03-30T09:31:08Z,Free,True
01f15e30-6609-4146-92e1-ef8a00eda27e,Shopaholic,Leading e-commerce platform for October CMS.,https://github.com/oc-shopaholic/oc-shopaholic-plugin,https://shopaholic.one,424,2026-06-26 08:16:29.459,,,['GPL-3.0'],Poland,['PHP'],PL,False,Organization,https://img.logo.dev/shopaholic.one?token=pk_MauVQceUSgaLrE87BqU4Kw,1.27.1,2020-05-15T13:18:04Z,Paid,True
02620650-09f3-4ccf-af7f-e326e34470aa,Lobe Chat,LobeChat is an open-source AI chat platform that provides a customizable and feature-rich experience for interacting with AI assistants.,https://github.com/lobehub/lobe-chat,https://lobehub.com,79117,2026-06-26 08:16:29.459,,,['Unknown'],Global,['TypeScript'],UN,False,Organization,https://img.logo.dev/lobehub.com?token=pk_MauVQceUSgaLrE87BqU4Kw,v2.2.8,2026-06-22T10:20:12Z,Freemium,True
02b0d99e-b759-4201-9308-894e630222cf,Filebrowser,Effortlessly manage files through a web interface.,https://github.com/filebrowser/filebrowser,https://filebrowser.org,35258,2026-06-26 08:16:29.459,,,['Apache-2.0'],Global,['Go'],UN,False,Organization,https://img.logo.dev/filebrowser.org?token=pk_MauVQceUSgaLrE87BqU4Kw,v2.63.16,2026-06-23T11:49:36Z,Free,True
02b60bc9-5370-4325-9392-cb4da6bf873f,Defguard,Enterprise-grade open source VPN solution combining WireGuard with mandatory 2FA/MFA and integrated OpenID Connect SSO for secure remote access,https://github.com/defguard/defguard,https://defguard.net,2746,2026-06-26 08:16:29.459,,,['Unknown'],Poland,['Rust'],PL,False,Organization,https://img.logo.dev/defguard.net?token=pk_MauVQceUSgaLrE87BqU4Kw,v2.0.1,2026-05-22T05:59:06Z,Free,True
0367716d-3e0a-47fb-bec6-e0bb1cd81950,Xournalpp,"Fast, flexible, cross-platform note-taking software.",https://github.com/xournalpp/xournalpp,https://xournalpp.github.io,14922,2026-06-26 08:16:29.459,,,['GPL-2.0'],Global,['C++'],UN,False,Organization,https://img.logo.dev/xournalpp.github.io?token=pk_MauVQceUSgaLrE87BqU4Kw,v1.3.5,2026-06-08T07:58:28Z,Free,False
03730938-aef0-4110-b526-cad6f2f9e8bc,Typebot,"Design, build, and deploy interactive chatbots with a visual editor. Integrate easily and collect data effortlessly.",https://github.com/baptisteArno/typebot.io,https://typebot.io,10074,2026-06-26 08:16:29.459,,,['Unknown'],France,['TypeScript'],FR,False,User,https://img.logo.dev/typebot.io?token=pk_MauVQceUSgaLrE87BqU4Kw,v3.17.2,2026-06-17T14:30:48Z,Paid,True
0375a5c5-9534-467d-a748-7a430083fa90,Botpress,"A comprehensive platform for creating AI agents with intuitive tools, extensive integrations, and enterprise-grade features powered by the latest language models.",https://github.com/botpress/botpress,https://go.openalternative.co/botpress,14760,2026-06-26 08:16:29.459,,,['MIT'],Canada,['TypeScript'],CA,False,Organization,https://img.logo.dev/go.openalternative.co?token=pk_MauVQceUSgaLrE87BqU4Kw,v12.30.9,2023-06-22T19:23:10Z,Freemium,True
03ab98c6-c2cf-4fe8-b42c-d86dc77b613f,Laverna,Markdown note-taking app with encryption.,https://github.com/Laverna/laverna,https://laverna.cc,9188,2026-06-26 08:16:29.459,,,['MPL-2.0'],Global,['JavaScript'],UN,False,Organization,https://img.logo.dev/laverna.cc?token=pk_MauVQceUSgaLrE87BqU4Kw,0.7.51,2017-10-01T09:17:21Z,Free,False
03c6209d-6b15-42f1-8e03-f5eeaef6ce44,OpenNotas,"OpenNotas is a multi-platform, end-to-end encrypted note-taking app that offers simplicity, synchronization, and offline functionality.",https://github.com/tonghoai/opennotas,https://opennotas.io,172,2026-06-26 08:16:29.459,,,['Unknown'],Global,['Vue'],UN,False,User,https://img.logo.dev/opennotas.io?token=pk_MauVQceUSgaLrE87BqU4Kw,v1.1.0,2025-02-27 08:38:29+00,Free,True
03e482cc-f4f8-4e60-8a57-6383799273d3,Cody,"Advanced AI coding assistant that helps enterprise teams write, fix, and maintain code with enhanced accuracy and consistency across large codebases",https://github.com/sourcegraph/cody-vs,https://sourcegraph.com/cody,86,2026-06-26 08:16:29.459,,,['Unknown'],Global,['C#'],UN,False,Organization,https://img.logo.dev/sourcegraph.com?token=pk_MauVQceUSgaLrE87BqU4Kw,vs-v0.22.0,2025-11-25T10:11:55Z,Freemium,True
043759b7-f3c9-493c-a7a1-3da1b73e42bb,Inkscape,"Free, powerful vector graphics editor",https://github.com/inkscape/inkscape,https://inkscape.org,3609,2026-06-26 08:16:29.459,,,['Unknown'],Global,[],UN,False,Organization,https://img.logo.dev/inkscape.org?token=pk_MauVQceUSgaLrE87BqU4Kw,,,Free,True
0442b5b0-101e-4fff-88cf-229d8867792e,Redash,Redash is an open-source data visualization and analytics platform that helps teams make sense of their data through SQL queries and interactive dashboards.,https://github.com/getredash/redash,http://redash.io,28660,2026-06-26 08:16:29.459,,,['BSD-2-Clause'],Global,['Python'],UN,False,Organization,https://img.logo.dev/redash.io?token=pk_MauVQceUSgaLrE87BqU4Kw,v26.3.0,2026-03-02T14:22:53Z,Free,True
044c2a42-51c8-4e35-a72e-fdbdf7c7286c,Kaneo,"Self-hosted project management platform with visual task management, data privacy, and complete control over customization - built by developers for developers.",https://github.com/usekaneo/kaneo,https://kaneo.app,3721,2026-06-26 08:16:29.459,,,['MIT'],Macedonia,['TypeScript'],,False,Organization,https://img.logo.dev/kaneo.app?token=pk_MauVQceUSgaLrE87BqU4Kw,v2.7.7,2026-05-29T19:20:17Z,Free,True
04536827-0e64-4666-aff5-b5f43b2d7903,Aerial,Apple TV Aerial Views Screen Saver for Mac.,https://github.com/JohnCoates/Aerial,https://github.com/JohnCoates/Aerial,20972,2026-06-26 08:16:29.459,,,['MIT'],Global,['Swift'],UN,False,User,https://img.logo.dev/github.com?token=pk_MauVQceUSgaLrE87BqU4Kw,v3.6.3,2025-08-12T15:58:24Z,Freemium,False
04bdc2a6-b9de-4f6d-891f-ec1fbd38eb0b,Lemmy,"Open-source forum and link aggregator that connects communities across the fediverse. Self-hosted, ad-free, with powerful moderation tools and federation.",https://github.com/lemmynet/lemmy,https://join-lemmy.org,14458,2026-06-26 08:16:29.459,,,['AGPL-3.0'],Global,['Rust'],UN,False,Organization,https://img.logo.dev/join-lemmy.org?token=pk_MauVQceUSgaLrE87BqU4Kw,0.19.19,2026-06-09T14:29:12Z,Free,True
05ef088a-4b80-4166-9fe4-99bafc9f5359,Hitobito,"Open Source tool for managing members, events, and more.",https://github.com/hitobito/hitobito,https://hitobito.com,473,2026-06-26 08:16:29.459,,,['AGPL-3.0'],Switzerland,['Ruby'],CH,False,Organization,https://img.logo.dev/hitobito.com?token=pk_MauVQceUSgaLrE87BqU4Kw,2.9.0,2026-04-07T20:32:04Z,Free,True
0647d8d7-524d-4e1c-a000-8fabf3994c95,Taiga,"Taiga is an intuitive project management tool for cross-functional agile teams, offering Kanban, Scrum, and issue tracking features.",https://github.com/taigaio/taiga-back,https://taiga.io,837,2026-06-26 08:16:29.459,,,['MPL-2.0'],Spain,['Python'],ES,False,Organization,https://img.logo.dev/taiga.io?token=pk_MauVQceUSgaLrE87BqU4Kw,django17-deploy-step1,2014-09-16 08:48:56+00,Freemium,True
0673030f-b328-4ad6-8e64-65aae6114d05,Kitty,"High-performance terminal emulator with GPU acceleration, graphics support, and advanced scripting capabilities for developers and system administrators.",https://github.com/kovidgoyal/kitty,https://sw.kovidgoyal.net/kitty,33622,2026-06-26 08:16:29.459,,,['GPL-3.0'],India,['Python'],IN,False,User,https://img.logo.dev/sw.kovidgoyal.net?token=pk_MauVQceUSgaLrE87BqU4Kw,v0.47.4,2026-06-15T03:43:47Z,Free,False
